strain	reference_strain	isotype	previous_names	warning_message	sequenced	source_lab	release	latitude	longitude	elevation	landscape	substrate	photo	isolated_by	sampled_by	isolation_date	isolation_date_comment	notes	city
JU2017	True	JU2017	SF5.2		False	JU	20170531	37.7575930	-122.4631770	112.876	Urban garden	Rotting plant	None	M.-A. Félix	C. Nelson	2010-11-01	only month/year (November 2010) is known, but we know it was late November	Isolated from rotten sweet potato sampled by Christopher Nelson in White Crane Garden, San Francisco, USA, in late November 2010	San Francisco
JU2106	True	JU2106	13.6.1		False	JU	20170531	43.6062660	0.2398240	226.449	Rural garden	Compost	None	M.-A. Félix	M.-A. Félix	2011-07-10	None	None	Peyrusse-Grande
JU2131	True	JU2131	Trep 1.4		False	JU	20170531	48.0497000	-4.7050000	20.9846	Wet shrubland	Rotting stem	None	M.-A. Félix	M.-A. Félix	2011-08-09	None	Isolated from a rotting Heracleum stem sampled by MAF in Baie des Trépassés (Finistère), France (48.0497, -4.7050) on 9 Aug 2011. Collected at ca. 20 cm from JU2132	Esquibien
JU2141	True	JU2141	B11.10.1		False	JU	20170531	46.6293000	1.0512000	108.638	Agricultural land	Rotting nut	None	M.-A. Félix	M.-A. Félix	2011-10-23	None	None	Le Blanc
JU2234	True	JU2234	prune7.2		False	JU	20170531	47.2270000	-1.5830000	36.6827	None	Rotting fruit	None	L. Frézal	L. Frézal	2012-11-11	None	None	Nantes
JU2250	True	JU2250	C1		False	JU	20170531	48.2852780	-1.8913890	137.114	Rural garden	Rotting fruit	None	L. Frézal	L. Frézal	2012-11-15	None	Isolated by Lise Frézal from an apple collected in Cardroc (Ile et Vilaine, France;48.285278, -1.891389) on the 15 Nov 2012. L4 individual isolated on 19 Nov 2012	Tinténiac
JU2257	True	JU2257	B13-5.5		False	JU	20170531	46.6000000	1.1000000	109.167	Urban garden	Compost	None	M.-A. Félix	M.-A. Félix	2013-08-15	None	None	Chalais
JU2287	False	JU2257	B13-5.8		False	JU	20170531	46.6000000	1.1000000	109.167	Urban garden	Compost	None	M.-A. Félix	M.-A. Félix	2013-08-15	None	None	Chalais
JU2316	True	JU2316	L13-1.3		False	JU	20160408	38.7175000	-9.1486000	65.9672	Botanical garden zoo	Rotting fruit	None	M.-A. Félix	M.-A. Félix	2013-08-25	None	Isolated from rotten Ficus macrophylla fruits sampled on 25 Aug 2013 in the Botanical Garden of the University of Lisbon, Portugal. Plated on 26 Aug. Started from a post-dauer juvenile on 26 Aug. Same sample as JU2317 and JU2377	Lisbon
JU2464	True	JU2464	Ag. Cal 2		False	JU	20160408	-13.1550000	-72.5250000	2073.39	None	Rotting fruit	None	L. Frezal	L. Lokmane	2013-01-01	Only month/year (January 2013) is known	From a rotting fleshy fruit collected by Ludmilla Lokmane in Aguas Calientes (Peru; -13.156022, -72.52402) in Jan 2013. Isolated by Lise Frézal from an adult isolated on 9 Jan 2013	Aguas Calientes
